,lin,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
1719,https://www.zomato.com/pune/mithasaundh,"Mithas
                                    ",Sweet Shop,Aundh,3.8,206,4.3,1071,"Street Food,Mithai,",400,"Rasmalai, Samosa, achori, Gulab Jamun, Sitaphal Rabri, Bengali Sweet"
1720,https://www.zomato.com/pune/mithasothrud,"Mithas
                                    ",Sweet Shop,othrud,4.3,1032,,,"Street Food,Mithai,",400,
1721,https://www.zomato.com/pune/mithasyerawada,"Mithas
                                    ",Sweet Shop,Yerawada,4.4,818,,,"Street Food,Mithai,",400,
1722,https://www.zomato.com/pune/mithaswaad,"Mithas
                                    ",Sweet Shop,Waad,3.9,19,,,"Street Food,Mithai,",400,
1723,https://www.zomato.com/pune/creamcentrebaner,"Cream Centre
                                    ",Casual Dining,Baner,3.8,462,3.4,240,"Street Food,Mexican,Italian,North Indian,",1600,"Nachos, Pav Bhaji, Biryani, Brownie, Ragda Patty, Pasta, Chole Bhature"
1724,https://www.zomato.com/pune/anurpavbhajibibvewadi,"Anur Pavbhaji
                                    ",Quic Bites,Bibvewadi,,,,,"Street Food,",250,
1725,https://www.zomato.com/basiliadelicatessen,"Basilia
                                    ",Quic Bites,Pimple Saudagar,4.2,533,3.4,1369,"Italian,Pizza,",800,"Hot Chocolate, Fries, Country Pizza, Margherita Pizza, Pomodoro Pasta, White Sauce Pasta, Paneer Pizza"
1726,https://www.zomato.com/pune/hyderabadilazizwaad,"Hyderabadi Laziz
                                    ",Quic Bites,Waad,3.7,177,3.5,4163,"Hyderabadi,Biryani,",300,"Chicen Seeh ebab, Hyderabadi Chicen Dum Biryani, Salad"
1727,https://www.zomato.com/pune/amritsarizaiawarje,"Amritsari Zaia
                                    ",Quic Bites,Warje,4,148,3.8,2059,"Street Food,Mughlai,North Indian,",400,"Chole Bhature, Chaap, Lassi, Chhole Bhature"
1728,https://www.zomato.com/pune/hyderabadizaiaharadi,"Hyderabadi Zaia
                                    ",Quic Bites,haradi,4,129,3.9,2684,"ebab,Biryani,",350,"Lucnowi Biryani, Russian Cutlet, Hyderabadi Biryani"
